BAT-POWER-SWITCH_SPDT1:1
C1:1
D_1:1
D_10:1
D_11:1
D_12:1
D_13:1
D_14:1
D_15:1
D_16:1
D_17:1
D_18:1
D_19:1
D_2:1
D_20:1
D_21:1
D_22:1
D_23:1
D_24:1
D_25:1
D_26:1
D_27:1
D_28:1
D_3:1
D_4:1
D_5:1
D_6:1
D_7:1
D_8:1
D_9:1
EC_SW1:1
EC_SW2:1
EC_SW3:1
G***:4
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
J1:1
J2:1
LED-OLED-POWER-SWITCH_SPDT2:1
LED_1:1
LED_10:1
LED_11:1
LED_12:1
LED_13:1
LED_14:1
LED_15:1
LED_16:1
LED_17:1
LED_18:1
LED_19:1
LED_2:1
LED_20:1
LED_21:1
LED_22:1
LED_23:1
LED_24:1
LED_25:1
LED_3:1
LED_4:1
LED_5:1
LED_6:1
LED_7:1
LED_8:1
LED_9:1
MCU1:1
R1:1
SW1:1
SW10:1
SW11:1
SW12:1
SW13:1
SW14:1
SW15:1
SW16:1
SW17:1
SW18:1
SW19:1
SW2:1
SW20:1
SW21:1
SW22:1
SW23:1
SW24:1
SW25:1
SW27_RST1:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
